masculine,feminine,neutral
actor,actress,artist
actors,actresses,artists
alderman,alderwoman,councilmember
aldermen,alderwomen,councilmembers
assemblyman,assemblywoman,legislator
assemblymen,assemblywomen,legislators
author,authoress,writer
authors,authoresses,writers
aviator,aviatrix,pilot
aviators,aviatrixes,pilots
bachelor,bachelorette,unmarried
bachelors,bachelorettes,unmarrieds
baron,baroness,peer
barons,baronesses,peers
brother,sister,sibling
brothers,sisters,siblings
businessman,businesswoman,businessperson
businessmen,businesswomen,businesspersons
cameraman,camerawoman,cameraoperator
cameramen,camerawomen,cameraoperators
chairman,chairwoman,chairperson
,,chair of the committee
chairmen,chairwomen,chairpersons
chairmanship,chairwomanship,chairpersonship
councilman,councilwoman,councillor
councilmen,councilwomen,councillors
common man,,common person
common men,,common persons
conductor,conductress,money collector
conductors,conductresses,money collectors
congressman,congresswoman,legislator
congressmen,congresswomen,legislators
count,countess,noble
counts,countesses,nobles
craftsman,craftswoman,artisan
craftsmen,craftswomen,artisans
crewman,crewwoman,crew member
,,crew members
,,crew person
crewmen,crewwomen,crew persons
delivery boy,delivery girl,delivery person
delivery boys,delivery girls,delivery persons
doorman,doorwoman,door attendant
doormen,doorwomen,door attendants
draftsman,draftswoman,drafter
draftsmen,draftswomen,drafters
duke,duchess,noble
dukes,duchesses,nobles
emperor,empress,ruler
emperors,empresses,rulers
father,mother,parent
fathers,mothers,parents
fatherhood,motherhood,parenthood
fireman,firewoman,firefighter
firemen,firewomen,firefighters
fisherman,fisher woman,angler
fishermen,fisher women,anglers
foreman,forewoman,supervisor
foremen,forewomen,supervisors
forefather,foremother,ancestor
forefathers,foremothers,ancestors
gentleman,lady,people
gentlemen,ladies,people
godfather,godmother,godparent
godfathers,godmothers,godparents
grandfather,grandmother,grandparent
grandfathers,grandmothers,grandparents
headmaster,headmistress,principal
headmasters,headmistresses,principals
heir,heiress,successor
heirs,heiresses,successors
hero,heroine,protagonist
heroes,heroines,protagonists
horseman,horsewoman,horserider
horsemen,horsewomen,horseriders
husband,wife,spouse
husbands,wives,spouses
king,queen,monarch
kings,queens,monarchs
landlord,landlady,landholder
landlords,landladies,landholders
,,property owner
,,property owners
layman,laywoman,layperson
laymen,laywomen,laypersons
lord,lady,noble
lords,,nobles
man,woman,person
man made,,human made
man up,,toughen up
mankind,womankind,humankind
manned,,crewed
manpower,,workforce
,,worker
menpower,,workers
masseur,masseuse,massage therapist
masseurs,masseuses,massage therapists
men,women,persons
middleman,,intermediary
middlemen,,intermediaries
monk,nun,clergy
monks,nuns,
nephew,niece,nibling
nephews,nieces,niblings
newsboy,newsgirl,newspapercarrier
newsboys,newsgirls,newspapercarriers
office boy,officegirl,clerk
office boys,officegirls,clerks
,,multi tasking staff
patrolman,patrolwoman,patrol officer
patrolmen,patrolwomen,patrol officers
poet,poetess,
poets,poetesses,
policeman,police woman,police officer
policemen,police women,police officers
,,postal worker
,,postal workers
postman,postwoman,mail carrier
postmen,postwomen,mail carriers
prince,princess,royal child
princes,princesses,royal children
proprietor,proprietress,owner
proprietors,proprietresses,owners
repairman,repair woman,technician
repairmen,repair women,technicians
,,repair person
salesman,sales woman,sales person
salesmen,sales women,sales persons
service man,service woman,service member
service men,service women,service members
shepherd,shepherdess,pastoralist
shepherds,shepherdesses,pastoralists
,,entertainer
,,entertainers
showman,,performer
showmen,,performers
showmanship,,stage presence
sir,madam,
sirs,madams,
son,daughter,child
sons,daughters,children
spokesman,spokeswoman,spokesperson
spokesmen,spokeswomen,spokespersons
sportsman,sportswoman,athlete
,,sports person
sportsmen,sportswomen,athletes
statesman,stateswoman,leader
statesmen,stateswomen,leaders
steward,stewardess,flight attendant
stewards,stewardesses,flight attendants
stuntman,stuntwoman,stunt performer
stuntmen,stuntwomen,stunt performers
viscount,viscountess,
viscounts,viscountesses,
waiter,waitress,server
waiters,waitresses,servers
,,table attendant
,,table attendants
watchman,watchwoman,guard
watchmen,watchwomen,guards
wizard,witch,sorcerer
wizards,witches,sorcerers
widow,widower,bereaved
widows,widowers,
,cleaning lady,househelp
,cleaning ladies,househelps
,hostess,host
,hostesses,hosts
,house maid,house keeper
,house maids,house keepers
househusband,housewife,homemaker
househusbands,housewives,homemakers
,maiden name,family name
,maiden names,family names
gigolo,prostitute,sex worker
gigolos,prostitutes,sex workers
stepfather,stepmother,stepparent
stepfathers,stepmothers,stepparents
stepson,stepdaughter,stepchildren
stepsons,stepdaughters,stepchildren
strongman,strongwoman,strongperson
strongmen,strongwomen,strongpersons
janitor,janitress,cleaner
janitors,janitresses,cleaners
,receptionist,front office attendant
,receptionists,front office attendants
freshman,,
freshmen,,
barman,barmaid,bartender
barmen,barmaids,bartenders